code,status,url
MEX,free,https://www.vecteezy.com/video/9973832-united-mexican-states-mexico-realistic-waving-flag-smooth-seamless-loop-4k-video
NED,free,https://www.vecteezy.com/video/9973838-netherlands-realistic-waving-flag-smooth-seamless-loop-4k-video
NOR,free,https://www.vecteezy.com/video/9973831-kingdom-of-norway-realistic-waving-flag-smooth-seamless-loop-4k-video
NZL,free,https://www.vecteezy.com/video/9974319-new-zealand-realistic-waving-flag-smooth-seamless-loop-4k-video
PAN,free,https://www.vecteezy.com/video/9974060-republic-of-panama-realistic-waving-flag-smooth-seamless-loop-4k-video
PAR,free,https://www.vecteezy.com/video/9974056-republic-of-paraguay-realistic-waving-flag-smooth-seamless-loop-4k-video
POR,free,https://www.vecteezy.com/video/9973829-portugal-realistic-waving-flag-smooth-seamless-loop-4k-video
QAT,free,https://www.vecteezy.com/video/9974313-state-of-qatar-realistic-waving-flag-smooth-seamless-loop-4k-video
RSA,free,https://www.vecteezy.com/video/10248660-republic-of-south-africa-realistic-waving-flag-smooth-seamless-loop-4k-video
SCO,free,https://www.vecteezy.com/video/33671422-scotland-waving-flag-realistic-animation-video
SEN,free,https://www.vecteezy.com/video/10248730-republik-senegal-realistic-waving-flag-smooth-seamless-loop-4k-video
SUI,free,https://www.vecteezy.com/video/10248665-switzerland-swiss-realistic-waving-flag-smooth-seamless-loop-4k-video
SWE,free,https://www.vecteezy.com/video/10248677-kingdom-of-sweden-realistic-waving-flag-smooth-seamless-loop-4k-video
TUN,free,https://www.vecteezy.com/video/10248706-republic-of-tunisia-realistic-waving-flag-smooth-seamless-loop-4k-video
TUR,free,https://www.vecteezy.com/video/10248673-turkey-realistic-waving-flag-smooth-seamless-loop-4k-video
URY,free,https://www.vecteezy.com/video/10248690-oriental-republic-of-uruguay-realistic-waving-flag-smooth-seamless-loop-4k-video
USA,free,https://www.vecteezy.com/video/10248697-united-states-of-america-realistic-waving-flag-smooth-seamless-loop-4k-video
UZB,free,https://www.vecteezy.com/video/10248720-republic-of-uzbekistan-realistic-waving-flag-smooth-seamless-loop-4k-video
